Date,Price,Open,High,Low,Change %
01/08/19,6.39,6.369,6.432,6.324,0.33%
01/07/19,6.369,6.906,6.93,6.266,-7.41%
01/06/19,6.879,6.949,7.097,6.734,-2.18%
01/05/19,7.032,7.411,7.426,7.03,-5.15%
01/04/19,7.414,7.356,7.497,7.229,0.93%
01/03/19,7.346,7.588,7.59,7.301,-3.23%
01/02/19,7.591,7.47,7.699,7.425,1.44%
01/01/19,7.483,7.401,7.65,7.35,1.53%
01/12/18,7.37,7.646,7.703,7.218,-3.12%
01/11/18,7.607,7.831,7.84,7.576,-3.13%
01/10/18,7.853,7.923,8.21,7.797,-2.13%
01/09/18,8.024,7.94,8.231,7.917,0.92%
01/08/18,7.951,7.767,7.958,7.681,2.30%
01/07/18,7.772,7.889,7.917,7.723,-1.66%
01/06/18,7.903,7.86,8,7.769,0.98%
01/05/18,7.826,7.731,7.945,7.553,0.76%
01/04/18,7.767,7.333,7.797,7.123,4.99%
01/03/18,7.398,7.726,7.8,7.286,-4.25%
01/02/18,7.726,7.446,7.816,7.399,3.98%
01/01/18,7.43,7.349,7.587,7.243,1.53%
01/12/17,7.318,7.089,7.398,7.028,3.63%
01/11/17,7.062,6.879,7.062,6.859,2.91%
01/10/17,6.862,6.643,6.885,6.632,2.92%
01/09/17,6.667,6.486,6.679,6.485,2.16%
01/08/17,6.526,6.444,6.57,6.431,0.93%
01/07/17,6.466,6.592,6.592,6.408,-0.69%
01/06/17,6.511,6.648,6.648,6.423,-2.30%
01/05/17,6.664,6.987,6.992,6.661,-4.31%
01/04/17,6.964,6.61,6.964,6.61,4.03%
01/03/17,6.694,6.925,6.931,6.682,-2.58%
01/02/17,6.871,6.398,6.942,6.398,7.21%
01/01/17,6.409,6.454,6.478,6.344,-1.64%
01/12/16,6.516,6.219,6.591,6.183,4.32%
01/11/16,6.246,6.886,6.916,6.185,-9.29%
01/10/16,6.886,6.913,6.913,6.798,-1.09%
01/09/16,6.962,7.111,7.12,6.918,-2.08%
01/08/16,7.11,7.128,7.196,7.082,-0.75%
01/07/16,7.164,7.419,7.426,7.164,-3.84%
01/06/16,7.45,7.489,7.538,7.438,-0.28%
01/05/16,7.471,7.432,7.483,7.423,0.46%
01/04/16,7.437,7.44,7.491,7.404,-0.35%
01/03/16,7.463,7.623,7.66,7.46,-2.14%
01/02/16,7.626,7.78,7.865,7.626,-2.02%
01/01/16,7.783,7.758,7.812,7.723,0.32%
01/12/15,7.758,7.757,7.816,7.704,-0.36%
01/11/15,7.786,7.634,7.786,7.625,1.90%
01/10/15,7.641,7.536,7.643,7.514,1.33%
01/09/15,7.541,7.774,7.801,7.538,-3.16%
01/08/15,7.787,7.787,7.893,7.719,-0.27%
01/07/15,7.808,7.839,7.886,7.737,-0.66%
01/06/15,7.86,7.821,8.011,7.706,0.56%
01/05/15,7.816,7.852,7.995,7.816,-0.56%
01/04/15,7.86,7.718,7.86,7.718,1.60%
01/03/15,7.736,7.764,7.806,7.675,0.10%
01/02/15,7.728,7.679,7.745,7.652,0.45%
01/01/15,7.693,7.846,7.906,7.677,-2.09%
01/12/14,7.857,8.052,8.061,7.799,-2.84%
01/11/14,8.087,8.242,8.262,8.075,-2.30%
01/10/14,8.277,8.493,8.493,8.265,-2.81%
01/09/14,8.516,8.557,8.557,8.437,-0.57%
01/08/14,8.565,8.722,8.879,8.483,-1.80%
01/07/14,8.722,8.726,8.805,8.638,-0.29%
01/06/14,8.747,8.648,8.776,8.514,1.17%
01/05/14,8.646,8.814,8.864,8.637,-2.08%
01/04/14,8.83,8.959,9.104,8.83,0.23%
01/03/14,8.81,8.899,8.901,8.718,-0.58%
01/02/14,8.861,8.745,8.918,8.684,0.83%
01/01/14,8.788,8.843,8.853,8.518,-0.42%
01/12/13,8.825,9.029,9.172,8.746,-2.59%
01/11/13,9.06,8.644,9.102,8.644,4.98%
01/10/13,8.63,8.69,8.735,8.428,-1.50%
01/09/13,8.761,8.469,8.851,8.196,1.85%
01/08/13,8.602,8.148,9.236,8.084,5.29%
01/07/13,8.17,7.417,8.418,7.417,9.68%
01/06/13,7.449,7.232,7.583,7.196,0.00%
01/05/13,7.449,7.714,7.777,7.323,-3.65%
01/04/13,7.731,7.99,7.993,7.731,-2.88%
01/03/13,7.96,7.853,7.99,7.84,1.11%
01/02/13,7.873,7.914,7.939,7.79,-0.49%
01/01/13,7.912,7.988,8,7.803,-1.70%
